alpha,coexpr_threshold,n_iters,ppi_weight,coexpr_weight,overall_pcc,mi_pcc,mu_pcc,mu_pcc_delta
0.1,0.3,5,0.7,0.30000000000000004,0.2228797972202301,0.44496041536331177,0.044667262583971024,0.0026006437838077545
0.1,0.3,10,0.7,0.30000000000000004,0.2228797972202301,0.44496041536331177,0.044667262583971024,0.0026006437838077545
0.1,0.3,20,0.7,0.30000000000000004,0.2228797972202301,0.44496041536331177,0.044667262583971024,0.0026006437838077545
0.1,0.3,5,0.5,0.5,0.22306548058986664,0.44496041536331177,0.04493921250104904,0.0028725937008857727
0.1,0.3,10,0.5,0.5,0.22306548058986664,0.44496041536331177,0.04493921250104904,0.0028725937008857727
0.1,0.3,20,0.5,0.5,0.22306548058986664,0.44496041536331177,0.04493921250104904,0.0028725937008857727
0.1,0.3,5,0.3,0.7,0.2232218235731125,0.44496041536331177,0.045079633593559265,0.003013014793395996
0.1,0.3,10,0.3,0.7,0.2232218235731125,0.44496041536331177,0.045079633593559265,0.003013014793395996
0.1,0.3,20,0.3,0.7,0.2232218235731125,0.44496041536331177,0.045079633593559265,0.003013014793395996
0.1,0.5,5,0.7,0.30000000000000004,0.2223871499300003,0.44496041536331177,0.04372279345989227,0.001656174659729004
0.1,0.5,10,0.7,0.30000000000000004,0.2223871499300003,0.44496041536331177,0.043722786009311676,0.001656167209148407
0.1,0.5,20,0.7,0.30000000000000004,0.2223871499300003,0.44496041536331177,0.043722786009311676,0.001656167209148407
0.1,0.5,5,0.5,0.5,0.22244490683078766,0.44496041536331177,0.04371993616223335,0.0016533173620700836
0.1,0.5,10,0.5,0.5,0.22244490683078766,0.44496041536331177,0.04371993616223335,0.0016533173620700836
0.1,0.5,20,0.5,0.5,0.22244490683078766,0.44496041536331177,0.04371993616223335,0.0016533173620700836
0.1,0.5,5,0.3,0.7,0.22250260412693024,0.44496041536331177,0.04371627792716026,0.001649659126996994
0.1,0.5,10,0.3,0.7,0.22250260412693024,0.44496041536331177,0.04371627792716026,0.001649659126996994
0.1,0.5,20,0.3,0.7,0.22250260412693024,0.44496041536331177,0.04371627792716026,0.001649659126996994
0.1,0.7,5,0.7,0.30000000000000004,0.22229845821857452,0.44496041536331177,0.043726976960897446,0.0016603581607341766
0.1,0.7,10,0.7,0.30000000000000004,0.22229845821857452,0.44496041536331177,0.043726976960897446,0.0016603581607341766
0.1,0.7,20,0.7,0.30000000000000004,0.22229845821857452,0.44496041536331177,0.043726976960897446,0.0016603581607341766
0.1,0.7,5,0.5,0.5,0.22229935228824615,0.44496041536331177,0.043728701770305634,0.0016620829701423645
0.1,0.7,10,0.5,0.5,0.22229935228824615,0.44496041536331177,0.043728701770305634,0.0016620829701423645
0.1,0.7,20,0.5,0.5,0.22229935228824615,0.44496041536331177,0.043728701770305634,0.0016620829701423645
0.1,0.7,5,0.3,0.7,0.22230078279972076,0.44496041536331177,0.043731242418289185,0.0016646236181259155
0.1,0.7,10,0.3,0.7,0.22230078279972076,0.44496041536331177,0.043731242418289185,0.0016646236181259155
0.1,0.7,20,0.3,0.7,0.22230078279972076,0.44496041536331177,0.043731242418289185,0.0016646236181259155
0.3,0.3,5,0.7,0.30000000000000004,0.22145751118659973,0.44496041536331177,0.0438196137547493,0.001752994954586029
0.3,0.3,10,0.7,0.30000000000000004,0.22145754098892212,0.44496041536331177,0.04381928965449333,0.0017526708543300629
0.3,0.3,20,0.7,0.30000000000000004,0.22145754098892212,0.44496041536331177,0.04381928965449333,0.0017526708543300629
0.3,0.3,5,0.5,0.5,0.221842423081398,0.44496041536331177,0.044246017932891846,0.0021793991327285767
0.3,0.3,10,0.5,0.5,0.22184212505817413,0.44496041536331177,0.044244881719350815,0.0021782629191875458
0.3,0.3,20,0.5,0.5,0.22184212505817413,0.44496041536331177,0.044244881719350815,0.0021782629191875458
0.3,0.3,5,0.3,0.7,0.22217735648155212,0.44496041536331177,0.044436920434236526,0.0023703016340732574
0.3,0.3,10,0.3,0.7,0.222176656126976,0.44496041536331177,0.04443484544754028,0.002368226647377014
0.3,0.3,20,0.3,0.7,0.222176656126976,0.44496041536331177,0.04443484544754028,0.002368226647377014
0.3,0.5,5,0.7,0.30000000000000004,0.22066809237003326,0.44496041536331177,0.04255112260580063,0.0004845038056373596
0.3,0.5,10,0.7,0.30000000000000004,0.22066837549209595,0.44496041536331177,0.042551204562187195,0.0004845857620239258
0.3,0.5,20,0.7,0.30000000000000004,0.22066837549209595,0.44496041536331177,0.042551204562187195,0.0004845857620239258
0.3,0.5,5,0.5,0.5,0.2208561897277832,0.44496041536331177,0.042516499757766724,0.0004498809576034546
0.3,0.5,10,0.5,0.5,0.22085651755332947,0.44496041536331177,0.04251643270254135,0.0004498139023780823
0.3,0.5,20,0.5,0.5,0.22085651755332947,0.44496041536331177,0.04251643270254135,0.0004498139023780823
0.3,0.5,5,0.3,0.7,0.22097857296466827,0.44496041536331177,0.042474545538425446,0.0004079267382621765
0.3,0.5,10,0.3,0.7,0.22097918391227722,0.44496041536331177,0.04247426614165306,0.00040764734148979187
0.3,0.5,20,0.3,0.7,0.22097918391227722,0.44496041536331177,0.04247426614165306,0.00040764734148979187
0.3,0.7,5,0.7,0.30000000000000004,0.22030296921730042,0.44496041536331177,0.04259566217660904,0.0005290433764457703
0.3,0.7,10,0.7,0.30000000000000004,0.22030331194400787,0.44496041536331177,0.04259582608938217,0.0005292072892189026
0.3,0.7,20,0.7,0.30000000000000004,0.22030331194400787,0.44496041536331177,0.04259582608938217,0.0005292072892189026
0.3,0.7,5,0.5,0.5,0.22030895948410034,0.44496041536331177,0.04259802773594856,0.0005314089357852936
0.3,0.7,10,0.5,0.5,0.22030925750732422,0.44496041536331177,0.04259815439581871,0.0005315355956554413
0.3,0.7,20,0.5,0.5,0.22030925750732422,0.44496041536331177,0.04259815439581871,0.0005315355956554413
0.3,0.7,5,0.3,0.7,0.22031967341899872,0.44496041536331177,0.04260072857141495,0.0005341097712516785
0.3,0.7,10,0.3,0.7,0.22032000124454498,0.44496041536331177,0.0426008515059948,0.0005342327058315277
0.3,0.7,20,0.3,0.7,0.22032000124454498,0.44496041536331177,0.0426008515059948,0.0005342327058315277
0.5,0.3,5,0.7,0.30000000000000004,0.21587388217449188,0.44496041536331177,0.03898237273097038,-0.0030842460691928864
0.5,0.3,10,0.7,0.30000000000000004,0.2158808708190918,0.44496041536331177,0.03897930309176445,-0.003087315708398819
0.5,0.3,20,0.7,0.30000000000000004,0.21588091552257538,0.44496041536331177,0.038979314267635345,-0.0030873045325279236
0.5,0.3,5,0.5,0.5,0.21642619371414185,0.44496041536331177,0.03944122791290283,-0.002625390887260437
0.5,0.3,10,0.5,0.5,0.2164246290922165,0.44496041536331177,0.03941957652568817,-0.0026470422744750977
