gene,category,pcc_s1,pcc_s2,mean_pcc,interval_width_s1,interval_width_s2,coverage_s1,coverage_s2,ccv_mean_s1,ccv_mean_s2,cross_width,cross_coverage,normalized_width_s1
ABCC11,MI,0.625955,0.625608,0.625782,0.640785,0.677655,0.6700,0.6700,1.105116,1.112926,0.645324,0.6532,2.004369
ACTA2,MI,0.528551,0.523172,0.525861,1.235784,1.187549,0.6700,0.6700,1.223361,1.159267,1.171036,0.6612,1.667840
ACTG2,MOD,0.229094,0.191697,0.210395,1.289911,1.306191,0.6700,0.6700,1.093575,1.076723,1.270034,0.6488,1.831784
ADAM9,MOD,0.315301,0.309984,0.312643,0.994364,1.021375,0.6700,0.6700,1.066290,1.060394,0.988865,0.6456,2.255140
ADGRE5,MOD,0.363699,0.352607,0.358153,0.597587,0.569983,0.6700,0.6700,1.049000,1.046795,0.596360,0.6844,3.051225
ADH1B,MI,0.531033,0.557590,0.544312,0.363539,0.477945,0.6700,0.6700,1.073025,1.070740,0.362671,0.5982,2.100665
ADIPOQ,MI,0.546838,0.608731,0.577785,0.009252,0.004449,0.6700,0.6700,1.010600,1.013926,0.009283,0.8530,0.573449
AGR3,MOD,0.443970,0.243725,0.343848,0.282482,0.275355,0.6700,0.6700,1.074048,1.047101,0.275390,0.6700,2.116804
AHSP,MU,-0.008694,-0.001256,-0.004975,0.003514,0.006860,0.6700,0.6700,1.000017,1.000631,0.003513,0.2291,2.322830
AIF1,MI,0.414524,0.413669,0.414097,0.921363,0.922860,0.6700,0.6700,1.089743,1.088322,0.920106,0.6687,2.895896
AKR1C1,MU,0.164476,0.120168,0.142322,0.134509,0.073181,0.6700,0.6700,1.019211,1.013175,0.133704,0.8510,2.961106
AKR1C3,MU,0.124468,0.147107,0.135787,0.096411,0.091754,0.6700,0.6700,1.015978,1.014318,0.096259,0.6865,3.001026
ALDH1A3,MOD,0.273065,0.160217,0.216641,0.264500,0.208065,0.6700,0.6700,1.040623,1.023535,0.260143,0.7943,3.040003
ANGPT2,MOD,0.238841,0.197587,0.218214,0.192738,0.163850,0.6700,0.6700,1.044304,1.027042,0.189525,0.7307,2.827131
ANKRD28,MU,0.060542,0.060801,0.060672,0.322529,0.353136,0.6700,0.6700,1.020870,1.020268,0.322347,0.5662,2.455706
ANKRD29,MOD,0.267032,0.217863,0.242447,0.156759,0.173983,0.6700,0.6700,1.046115,1.037868,0.155493,0.6222,2.523160
ANKRD30A,MI,0.694622,0.706223,0.700422,1.182963,1.231313,0.6700,0.6700,1.192737,1.160625,1.151089,0.6343,1.393598
APOBEC3A,MU,0.005476,-0.000970,0.002253,0.003154,0.002156,0.6700,0.6700,1.001052,1.000432,0.003154,0.8969,1.910166
APOBEC3B,MU,0.158515,0.137147,0.147831,0.159023,0.160154,0.6700,0.6700,1.023232,1.019417,0.158423,0.6639,2.861829
APOC1,MOD,0.305454,0.362571,0.334012,0.398296,0.356657,0.6700,0.6700,1.079840,1.055525,0.389323,0.7164,2.568815
AQP1,MI,0.487913,0.461115,0.474514,0.821648,0.696475,0.6700,0.6700,1.163864,1.120530,0.791031,0.7131,2.506856
AQP3,MU,0.144531,0.157516,0.151023,0.144152,0.193746,0.6700,0.6700,1.022014,1.024553,0.144541,0.5603,3.084031
AR,MI,0.535346,0.559169,0.547258,0.605918,0.535963,0.6700,0.6700,1.072122,1.070095,0.604797,0.7010,2.506710
AVPR1A,MOD,0.254999,0.220043,0.237521,0.120697,0.003885,0.6700,0.6700,1.049795,1.009570,0.116093,0.9310,2.189867
BACE2,MOD,0.189374,0.189136,0.189255,0.463597,0.419826,0.6700,0.6700,1.040945,1.033560,0.460310,0.7247,3.008229
BANK1,MOD,0.300489,0.306971,0.303730,0.010930,0.284362,0.6700,0.6700,1.030105,1.043384,0.011068,0.4277,0.216221
BASP1,MOD,0.338024,0.370121,0.354073,0.945914,0.944036,0.6700,0.6700,1.091031,1.063552,0.922086,0.6532,2.260357
