gene,category,pcc_s1,pcc_s2,mean_pcc,interval_width_s1,interval_width_s2,coverage_s1,coverage_s2,ccv_mean_s1,ccv_mean_s2,cross_width,cross_coverage,normalized_width_s1
ACER1,MU,0.003394,-0.009154,-0.002880,0.005356,0.004345,0.6700,0.6700,1.002358,1.001697,0.005353,0.8018,1.455426
ACHE,MU,-0.006900,0.022898,0.007999,0.001718,0.010804,0.6700,0.6700,1.006531,1.000137,0.001708,0.0000,0.348788
ACTA2,MOD,0.062501,0.148563,0.105532,0.004709,0.098151,0.6700,0.6700,1.009239,1.021900,0.004768,0.4499,0.588701
ADAM12,MOD,0.096515,0.112689,0.104602,0.513957,0.476009,0.6700,0.6700,1.036265,1.031875,0.511784,0.7362,2.616560
AHNAK2,MI,0.162298,0.465464,0.313881,0.165977,0.002816,0.6700,0.6700,1.034690,1.022160,0.164014,0.7776,2.851266
AHSP,MU,-0.006472,-0.000377,-0.003425,0.002632,0.004057,0.6700,0.6700,1.000660,1.003293,0.002638,0.4916,1.955534
AIF1,MI,0.377666,0.309007,0.343336,0.128425,0.266853,0.6700,0.6700,1.043626,1.063392,0.130858,0.5368,1.896651
AKR1C1,MOD,0.058921,0.148081,0.103501,0.086685,0.078133,0.6700,0.6700,1.022735,1.021369,0.086572,0.6970,2.825355
ALAS2,MU,-0.000769,0.007952,0.003592,0.005306,0.029088,0.6700,0.6700,1.002019,1.011198,0.005355,0.5853,1.671885
ALOX5AP,MOD,0.044781,0.270575,0.157678,0.009395,0.216858,0.6700,0.6700,1.023570,1.035866,0.009507,0.3767,0.440832
APCDD1,MI,0.276604,0.449559,0.363081,1.196436,1.363099,0.6700,0.6700,1.185340,1.181003,1.192058,0.5969,1.849281
APOD,MI,0.717070,0.453425,0.585248,0.961451,1.945637,0.6700,0.6700,1.231976,1.191180,0.929610,0.3424,0.495148
AQP1,MI,0.622113,0.449899,0.536006,0.603527,0.930884,0.6700,0.6700,1.148097,1.156996,0.608210,0.4587,2.197694
AQP3,MI,0.500921,0.559633,0.530277,0.007102,0.262556,0.6700,0.6700,1.018086,1.067503,0.007444,0.4325,0.335267
AREG,MOD,0.241316,0.174544,0.207930,0.003424,0.002964,0.6700,0.6700,1.003295,1.015310,0.003464,0.7316,0.901785
ARHGDIB,MI,0.361570,0.398531,0.380050,1.004303,0.932156,0.6700,0.6700,1.093779,1.116760,1.025403,0.7229,1.988564
ASPN,MU,0.105263,0.065910,0.085587,0.005324,0.005225,0.6700,0.6700,1.008659,1.007752,0.005319,0.6800,0.552994
ATF3,MOD,0.139793,0.179603,0.159698,0.036000,0.188202,0.6700,0.6700,1.030975,1.037493,0.036229,0.3014,1.048025
AXL,MI,0.325355,0.240515,0.282935,0.120266,0.265570,0.6700,0.6700,1.044725,1.040419,0.119757,0.3989,1.901108
AZGP1,MOD,0.302684,0.202485,0.252585,1.027255,0.729882,0.6700,0.6700,1.119490,1.063562,0.975957,0.7736,2.320475
BASP1,MI,0.438836,0.285916,0.362376,0.182239,0.546705,0.6700,0.6700,1.062907,1.068761,0.183245,0.4592,1.661694
BCAN,MI,0.319645,0.308794,0.314220,0.481028,0.598743,0.6700,0.6700,1.074371,1.089084,0.487631,0.6172,3.695053
BHLHE41,MOD,0.120155,0.169119,0.144637,0.852537,0.970323,0.6700,0.6700,1.087183,1.071438,0.840192,0.5285,2.689752
BIRC3,MOD,0.256261,0.147735,0.201998,0.227124,0.247686,0.6700,0.6700,1.032773,1.049988,0.230908,0.6519,2.186666
BIRC5,MU,0.066687,0.019404,0.043045,0.166786,0.259122,0.6700,0.6700,1.022771,1.031989,0.168290,0.3729,2.672708
C11orf96,MU,0.066303,0.108779,0.087541,0.266193,0.225534,0.6700,0.6700,1.027055,1.019346,0.264209,0.7607,2.706569
C15orf48,MOD,0.199734,0.238690,0.219212,0.070984,0.008239,0.6700,0.6700,1.042419,1.027337,0.069956,0.7961,1.475370
C1QA,MI,0.430538,0.297801,0.364169,0.197138,0.058605,0.6700,0.6700,1.063125,1.031929,0.191370,0.7659,1.934077
C1orf54,MOD,0.139299,0.134997,0.137148,0.130252,0.115970,0.6700,0.6700,1.026400,1.026152,0.130221,0.7133,2.893500
C5AR1,MOD,0.153836,0.081981,0.117908,0.003833,0.008837,0.6700,0.6700,1.010349,1.012629,0.003841,0.3594,0.321944
CA1,MU,0.008841,0.000919,0.004880,0.002641,0.004147,0.6700,0.6700,1.006346,1.002365,0.002631,0.3787,0.350927
CALCRL,MI,0.349082,0.299557,0.324320,0.005386,0.003491,0.6700,0.6700,1.014082,1.020686,0.005421,0.7600,0.345841
CALD1,MOD,0.217733,0.234864,0.226298,1.196674,1.383263,0.6700,0.6700,1.079965,1.088388,1.206008,0.6067,1.215347
