,EPS_s1,EPS_s2,EPS
ABCC11,0.2797607171466086,0.30433540047114616,0.2920480588088774
ACTA2,0.09001008766134838,0.10235283075924884,0.09618145921029861
ACTG2,0.06639835279691017,0.05836359934474681,0.06238097607082849
ADAM9,0.14158599811530267,0.14069720710270786,0.14114160260900527
ADGRE5,0.12999193210281895,0.11490008961900328,0.12244601086091111
ADH1B,0.14898867061151694,0.18703068794034827,0.1680096792759326
ADIPOQ,0.12070669938328021,0.19117003456974277,0.15593836697651148
AGR3,0.09053352839918652,0.12658466291452924,0.10855909565685788
AHSP,-0.002023224748975096,0.018911648355634126,0.008444211803329514
AIF1,0.1448923473630611,0.1541460587000463,0.1495192030315537
AKR1C1,0.02995935113626645,0.050187221964108665,0.04007328655018756
AKR1C3,0.016446575622728107,0.03412509314959221,0.02528583438616016
ALDH1A3,0.043490185958563674,0.04451900400609518,0.04400459498232943
ANGPT2,0.01823596270951195,0.030084878143819733,0.024160420426665843
ANKRD28,0.007588642210114648,0.01246490835873306,0.010026775284423854
ANKRD29,0.03330419001844034,0.026617158946078755,0.029960674482259544
ANKRD30A,0.38528718709962073,0.3885146008099943,0.38690089395480753
APOBEC3A,-0.0075645484477001096,0.012213110396148785,0.0023242809742243377
APOBEC3B,0.015605547288341964,0.007505396400532655,0.01155547184443731
APOC1,0.02942303871480296,0.02072548480727344,0.025074261761038198
AQP1,0.09717480091666172,0.09684543007865065,0.09701011549765619
AQP3,0.03043962861354226,0.016257633662199896,0.023348631137871077
AR,0.2596727921256956,0.30225436994467897,0.28096358103518726
AVPR1A,0.027907932285564596,0.006947010747231357,0.017427471516397976
BACE2,0.04182943158070427,0.03833423029849875,0.04008183093960151
BANK1,0.07645372499014375,0.08676464083561203,0.08160918291287789
BASP1,0.0746228654021157,0.08194520152486189,0.07828403346348879
BTNL9,0.05184086153782892,0.040015882814301906,0.045928372176065414
C15orf48,0.04623782428850307,0.04432639194590468,0.04528210811720387
C1QA,0.09414056693990185,0.09284924470119474,0.09349490582054829
C1QC,0.08010457919653248,0.08222520189088438,0.08116489054370843
C2orf42,-0.012876140163835419,-0.010408013203944808,-0.011642076683890112
C5orf46,0.018734885498480208,0.033487958654144875,0.026111422076312542
C6orf132,0.07893077029067379,0.10473264622566354,0.09183170825816867
CAV1,0.11587925328269558,0.12467848818200283,0.1202788707323492
CAVIN2,0.03544790157286191,0.04882833526172174,0.04213811841729183
CCDC6,0.17955542509843153,0.17930037879098348,0.1794279019447075
CCDC80,0.3547787902454032,0.3959730683170821,0.37537592928124264
CCL20,0.00367419833109381,-0.016521612857728848,-0.006423707263317519
CCL5,0.19232513900906634,0.18284006548373608,0.18758260224640122
CCL8,0.023578612017129793,0.02497470072035664,0.024276656368743217
CCND1,0.3268850195861101,0.34220183518049735,0.3345434273833037
CCPG1,0.03725539846031457,0.0396813888726219,0.03846839366646824
CCR7,0.1467443572096938,0.1532046797669098,0.1499745184883018
CD14,0.06906339482115419,0.0653358038795955,0.06719959935037484
CD163,0.10799017905444627,0.11391263615684723,0.11095140760564676
CD19,0.044918735048226265,0.03920219571055291,0.04206046537938959
CD1C,0.04413204218675951,0.03865605845544824,0.041394050321103874
CD247,0.2013435621161797,0.19362778658710175,0.19748567435164072
CD27,0.10202508380937925,0.10374068751789066,0.10288288566363496
CD274,0.037403257000898776,0.030627890146404622,0.0340155735736517
CD3D,0.20228505259325755,0.19398107051737742,0.19813306155531749
CD3E,0.42677680298826165,0.41240830857931754,0.4195925557837896
CD3G,0.18629093552641618,0.18205441091462,0.18417267322051808
CD4,0.21575800472189088,0.21645870571419387,0.2161083552180424
CD68,0.13304611772151143,0.14345696353625673,0.13825154062888406
CD69,0.22613565242408334,0.22600629226301855,0.22607097234355095
CD79A,0.0655234493418236,0.047994361576926776,0.05675890545937519
CD79B,0.02332506124494132,0.009445556432977148,0.016385308838959233
CD80,0.032880103971298674,0.020509689064632596,0.026694896517965635
CD83,0.03106745203709426,0.031603399586642995,0.03133542581186863
CD86,0.06180384099845855,0.057267178881629494,0.05953550994004402
CD8A,0.11097227555777059,0.10191043828897224,0.10644135692337142
CD8B,0.07141599490149782,0.07725905075357639,0.07433752282753711
CD9,0.4055778056271691,0.43126146328885423,0.41841963445801167
CD93,0.087540996235689,0.08832360870832905,0.08793230247200903
CDC42EP1,0.01682504516184691,0.018249135495983063,0.017537090328914987
CDH1,0.388991459850099,0.45198081690789416,0.42048613837899657
CEACAM6,0.16001211042848268,0.1875671439027504,0.17378962716561652
CEACAM8,0.04480675650783191,0.03925158895270289,0.042029172730267406
CENPF,0.07360446166446291,0.0883349258778352,0.08096969377114906
CLCA2,0.014846721446948808,0.014547739603330164,0.014697230525139486
CLDN4,0.14793063879398233,0.19662442278669465,0.17227753079033847
CLDN5,0.029368664740234227,0.034494764019050994,0.03193171437964261
CLEC14A,0.06719803547882035,0.059407999311181,0.06330301739500067
CLEC9A,0.023035877985941866,0.012347300912427606,0.017691589449184735
CLECL1,0.03664392219968951,0.027002839463748728,0.03182338083171912
CLIC6,0.005595322624446645,-0.015609760790920616,-0.005007219083236985
CPA3,0.024670719908751897,0.029935420148034096,0.027303070028392995
CRHBP,-0.022382090692880517,0.0832002051704472,0.03040905723878334
CRISPLD2,0.10314415975221007,0.111937352649944,0.10754075620107703
CSF3,-0.02800503091485823,-0.015048875317573122,-0.021526953116215677
CTH,-0.007701370146058268,-0.014548572380036408,-0.011124971263047338
CTLA4,0.09356448145428674,0.0966160756125663,0.09509027853342653
CTSG,0.04033957065999239,0.04708394528086541,0.0437117579704289
CTTN,0.35287936012099863,0.3306843989980107,0.3417818795595047
CX3CR1,0.039695459057228204,0.03353721981496444,0.03661633943609632
CXCL12,0.3014185469148799,0.3551769630842784,0.32829775499957914
CXCL16,0.01884372745644993,0.01779686046918907,0.0183202939628195
CXCL5,-0.0026119627925925972,-0.010144331281307359,-0.0063781470369499785
CXCR4,0.28352987031218946,0.32706246438958486,0.30529616735088716
CYP1A1,-0.024282717030916178,-0.008716038145081833,-0.016499377587999006
CYTIP,0.36425575730468934,0.3486377209703687,0.356446739137529
DAPK3,0.008091896605228362,0.005229980157609813,0.006660938381419087
DERL3,0.030565915302975435,0.028602842445852206,0.02958437887441382
DMKN,0.030196151030686375,0.058035433994859754,0.04411579251277306
DNAAF1,-0.0028188388625623477,-0.03037553652169623,-0.016597187692129287
DNTTIP1,0.022142696759837,0.01999062988659174,0.02106666332321437
DPT,0.11319379044940364,0.11214639999567494,0.11267009522253929
DSC2,0.07720421539343532,0.09582453941342824,0.08651437740343178
DSP,0.3410020614071612,0.3937029097685209,0.36735248558784106
DST,0.2414511186901401,0.2496602745636257,0.2455556966268829
DUSP2,0.023717755578865934,0.014898871653512799,0.019308313616189367
DUSP5,0.011879915158324154,0.01278525954444926,0.012332587351386707
EDN1,0.040550464574526685,0.030913675162043536,0.03573206986828511
EDNRB,0.06144071033974737,0.08300362584456357,0.07222216809215547
EGFL7,0.01798817808093037,0.02051411273058578,0.019251145405758077
EGFR,0.054401919983427145,0.07643439057896642,0.06541815528119678
EIF4EBP1,0.0055294971606617595,0.0010096027947963547,0.003269549977729057
ELF3,0.25032508154351685,0.2916535020496969,0.2709892917966069
ELF5,0.00838325381574481,0.003264115319346102,0.005823684567545456
ENAH,0.2170892309123788,0.21312340538156754,0.21510631814697317
EPCAM,0.46549322171694085,0.498421613053453,0.48195741738519693
ERBB2,0.29733155106623127,0.28143821896389076,0.289384885015061
ERN1,0.07731066946046763,0.08283297132839038,0.080071820394429
ESM1,-0.014596483203831527,0.0020210171853024053,-0.006287733009264561
ESR1,0.06574698504526605,0.08481166724202775,0.07527932614364691
FAM107B,0.061526432676444046,0.05680706046825497,0.05916674657234951
FAM49A,0.04591757117797733,0.040492110078895055,0.04320484062843619
FASN,0.40138907326391915,0.41981497989278493,0.41060202657835204
FBLIM1,0.06408365127757394,0.05083107644630809,0.057457363861941016
FBLN1,0.22814476156880176,0.25571074856096876,0.24192775506488526
FCER1A,0.057588446486194614,0.03812916207584591,0.04785880428102026
FCER1G,0.12869360419089174,0.13875496780566637,0.13372428599827907
FCGR3A,0.05120000584920131,0.04315271578641221,0.04717636081780676
FGL2,0.14149949039985987,0.14418843586753702,0.14284396313369846
FLNB,0.1894647379222173,0.20556734585458591,0.1975160418884016
FOXA1,0.40607517918357605,0.4412737667978835,0.4236744729907298
FOXC2,0.020061218826334066,0.02329299000262326,0.021677104414478662
FOXP3,0.003344443632020182,0.008458898723645008,0.005901671177832595
FSTL3,0.030977464054995258,0.027131981785469408,0.029054722920232333
GATA3,0.30459443500959077,0.3176615480074018,0.3111279915084963
GJB2,0.010761266376261094,0.04602599580100417,0.02839363108863263
GLIPR1,0.12358717123473213,0.10836997000759369,0.1159785706211629
GNLY,0.021793482895454783,0.032964444973214796,0.02737896393433479
GPR183,0.2347199242416177,0.2340451458500866,0.23438253504585216
GZMA,0.17383017207528312,0.1701480822899982,0.17198912718264064
GZMB,0.0625182425912062,0.0246020329746337,0.04356013778291995
GZMK,0.024286572254594053,0.015735303073515554,0.020010937664054804
HAVCR2,0.054334138943124013,0.04320141354249832,0.048767776242811166
HDC,0.1015484296880943,0.10861666301483443,0.10508254635146436
HMGA1,0.05685747880786522,0.059070939156857974,0.0579642089823616
HOOK2,0.09031433527295049,0.09950120036154,0.09490776781724525
HOXD8,0.046933233561106694,0.0594423011242062,0.05318776734265644
HOXD9,0.04450946594747888,0.03633403141049673,0.040421748678987804
HPX,0.02532576506476483,0.0408667648287189,0.033096264946741866
IGF1,0.19283651254962145,0.23457632313736573,0.2137064178434936
IGSF6,0.07000864817210142,0.07288891394978475,0.07144878106094309
IL2RA,0.05342696910791877,0.02751854861891287,0.04047275886341582
IL2RG,0.31298599326725696,0.2991806300244649,0.3060833116458609
IL3RA,0.029312120872795572,0.04187254316167116,0.035592332017233365
IL7R,0.39865962184419407,0.3895827761333886,0.39412119898879133
ITGAM,0.05250233432066323,0.039517126996579256,0.04600973065862124
ITGAX,0.07514272012436045,0.06943152032006701,0.07228712022221373
ITM2C,0.06303963865611441,0.08169662673879244,0.07236813269745343
JUP,0.10460610719306013,0.11784656132252672,0.11122633425779342
KARS,0.021697485159450032,0.023558893645132008,0.02262818940229102
KDR,0.047466636221390274,0.03127161371645036,0.03936912496892032
KIT,0.044547572008906425,0.03694759227116725,0.040747582140036834
KLF5,0.13622613359845276,0.16942061788063698,0.15282337573954485
KLRB1,0.1675195053972913,0.17483843544887556,0.17117897042308344
KLRC1,0.051223740937256304,0.06746933364512575,0.05934653729119103
KLRD1,0.07932021356992233,0.08101313297241405,0.08016667327116819
KLRF1,0.003197058419076096,0.009746907442905137,0.0064719829309906165
KRT14,0.08478270680421697,0.09786847935700374,0.09132559308061036
KRT15,0.07240382165280124,0.09020438398051966,0.08130410281666045
KRT16,0.05554016231031528,0.08137101991074672,0.068455591110531
KRT23,0.06902657823890374,0.0617000732945688,0.06536332576673627
KRT5,0.07962582570822056,0.0960047064383257,0.08781526607327314
KRT6B,0.07068089074191762,0.0790167633786235,0.07484882706027056
KRT7,0.4457979933667482,0.49149906490543277,0.46864852913609045
KRT8,0.465631818502325,0.5038176680587028,0.48472474328051385
LAG3,0.00792310910959995,-0.002685718841528686,0.0026186951340356323
LARS,0.09725652267732386,0.09829458261350482,0.09777555264541435
LDHB,0.16757185289614848,0.1510758662488151,0.1593238595724818
LEP,0.052316549045673524,0.14079820243059832,0.09655737573813591
LGALSL,0.005280140417035321,0.0053988323711664865,0.005339486394100904
LIF,0.023074625964947113,0.03225351126479,0.02766406861486856
LILRA4,0.0023031754628177322,0.006041764010503322,0.0041724697366605275
LPL,0.07677894389532104,0.1177320872169849,0.09725551555615297
LPXN,0.1361914766988359,0.11126146681031641,0.12372647175457616
LRRC15,0.09132684106582617,0.09129857175873868,0.09131270641228242
LTB,0.1310823309799633,0.14559858791190605,0.13834045944593468
LUM,0.30320448770376374,0.3663733259793105,0.3347889068415371
LY86,0.032187243226855386,0.0042880896209640295,0.01823766642390971
LYPD3,0.29242821735808416,0.3541250473097409,0.3232766323339126
LYZ,0.18267774185555952,0.19734067213424453,0.19000920699490204
MAP3K8,0.021157368512124436,0.01958035092041414,0.02036885971626929
MDM2,0.14987206195716607,0.13756096753875513,0.1437165147479606
MEDAG,0.06426871195023352,0.06810751570760844,0.06618811382892098
MKI67,0.029572990434600883,0.0354297264386345,0.032501358436617694
MLPH,0.4632529513989036,0.5059692307521904,0.484611091075547
MMP1,-0.010249384075547594,0.009680304361497714,-0.00028453985702494005
MMP12,0.0708484209259157,0.0855940979875649,0.0782212594567403
MMP2,0.2626840528438825,0.27795534045644454,0.27031969665016353
MMRN2,0.04955425487505121,0.0551479170017786,0.05235108593841491
MNDA,0.07597706244899283,0.06840391015279838,0.07219048630089561
MPO,-0.04294002501260209,0.08146196429279316,0.019260969640095535
MRC1,0.10470981198582556,0.10833169412045249,0.10652075305313902
MS4A1,0.09885595287651014,0.10383235506153843,0.10134415396902428
MUC6,-0.006621736066454456,-0.009734073856223815,-0.008177904961339136
MYBPC1,0.01277351023048693,-0.0035530799923719127,0.004610215119057509
MYH11,0.06497010622077681,0.05551410021434293,0.06024210321755987
MYLK,0.08780955391626925,0.09703514452922515,0.0924223492227472
MYO5B,0.3216343393048391,0.36888820393079824,0.34526127161781867
MZB1,0.06373305665109509,0.06864895756806551,0.0661910071095803
