,EPS_s1,EPS_s2,EPS
ACER1,0.024510172939914532,0.1826503973160985,0.10358028512800652
ACHE,0.01578975607796361,-0.03324439735994134,-0.008727320640988866
ACTA2,0.009892772555282954,0.03592970112852284,0.022911236841902896
ADAM12,0.011908648848265993,0.01404728955465737,0.012977969201461681
AHNAK2,0.05067501070517173,0.1978372032946737,0.1242561069999227
AHSP,-0.029414861400855398,0.038790435033223644,0.004687786816184123
AIF1,0.16912215578416864,0.16169571924946124,0.16540893751681496
AKR1C1,0.017423344064254435,0.03771756438836576,0.027570454226310097
ALAS2,-0.007697501396453532,-0.05944886611971507,-0.033573183758084296
ALOX5AP,0.08574200107143086,0.13228111623506117,0.10901155865324602
APCDD1,0.021769505301225244,0.050745470925526455,0.03625748811337585
APOD,0.3287945249767072,0.34906970498563394,0.3389321149811706
AQP1,0.18045360541326105,0.17263229303083705,0.17654294922204905
AQP3,0.06025120303693734,0.295016047510745,0.17763362527384116
AREG,0.06437381985370089,0.0955688198398151,0.079971319846758
ARHGDIB,0.03693580255381697,0.04353769822468289,0.040236750389249926
ASPN,0.05684980274884444,0.09681700618404193,0.07683340446644318
ATF3,0.03276631125352874,0.05255333042105855,0.042659820837293645
AXL,0.14626123873508545,0.13432673177354626,0.14029398525431586
AZGP1,0.09240873763018567,0.05938376920853731,0.07589625341936149
BASP1,0.12474445672918173,0.12293094991229331,0.12383770332073751
BCAN,0.022615745394350895,0.015900243373182518,0.019257994383766706
BHLHE41,0.014521063615553432,0.047790282531216116,0.031155673073384772
BIRC3,0.08509910691308767,0.08380736230198996,0.08445323460753881
BIRC5,0.02252341964129252,0.030858253665983826,0.026690836653638174
C11orf96,-0.007770736004633412,-0.023073584321110105,-0.015422160162871758
C15orf48,0.09510542628716118,0.14237615177899232,0.11874078903307675
C1QA,0.14798782661082024,0.13390258078552553,0.14094520369817287
C1orf54,0.04787249204631962,0.06147283579480028,0.054672663920559944
C5AR1,0.1119768961079834,0.10524475273007348,0.10861082441902845
CA1,-0.005581470106263533,-0.022459780416149225,-0.01402062526120638
CALCRL,0.14039271491923397,0.13821864099286393,0.13930567795604895
CALD1,0.09915006856778699,0.073866641551742,0.0865083550597645
CAPNS2,0.000389414298284132,0.19862878056659497,0.09950909743243955
CBFA2T3,0.06164105297606938,0.06417221215249773,0.06290663256428355
CCL19,0.07946203938128851,0.08935087716115213,0.08440645827122031
CCL22,0.05010373185859729,0.046142516037888666,0.048123123948242974
CCND1,0.14192499246490275,0.13537357016827925,0.138649281316591
CCR7,0.05839653189739303,0.026414923228789657,0.04240572756309134
CD1A,0.02872828537709464,0.07521422660283801,0.051971255989966325
CD1B,0.06787082596903038,0.09532340741520826,0.08159711669211932
CD3D,0.15200128234838176,0.12925390044819676,0.14062759139828926
CD3E,0.15247453053691845,0.12079586557553947,0.13663519805622895
CD3G,0.1158701228057703,0.12585550907993875,0.12086281594285453
CD40LG,0.04084861007801008,-0.015949151737869708,0.012449729170070185
CD52,0.19363167393498903,0.16861917888946498,0.181125426412227
CD68,0.07302679647140341,0.10428993404831878,0.0886583652598611
CD69,0.0802839703390007,0.06947099026103254,0.07487748030001662
